ir1,ir2,ir1filt,ir2filt
92720,83292,-132,-33
92700,83276,-139,-32
92738,83268,-145,-30
92726,83274,-150,-26
92758,83267,-155,-22
92743,83272,-159,-18
92751,83279,-163,-13
92750,83284,-165,-10
92741,83280,-165,-8
92754,83279,-164,-6
92765,83278,-162,-6
92770,83278,-159,-5
92763,83284,-156,-5
92775,83268,-152,-5
92791,83296,-149,-5
92805,83274,-146,-6
92795,83294,-144,-6
92797,83262,-142,-7
92803,83266,-140,-7
92825,83281,-137,-6
92838,83290,-136,-5
92833,83264,-135,-5
92776,83253,-133,-4
92168,83155,-119,0
92151,83147,-74,7
92130,83135,-3,21
92137,83128,82,37
92102,83132,170,54
92115,83105,254,71
92135,83120,326,86
92153,83100,384,99
92166,83145,424,108
92165,83154,447,113
92179,83177,455,113
92207,83202,450,107
92216,83206,434,97
92260,83219,409,83
92263,83224,376,67
92274,83231,339,50
92291,83236,299,33
92294,83263,260,16
92308,83235,221,1
92334,83236,185,-11
92337,83249,151,-22
92317,83246,121,-30
92340,83246,95,-36
92362,83238,72,-40
92369,83246,51,-42
92339,83268,34,-43
92336,83238,20,-44
92330,83232,10,-43
92327,83221,3,-41
92319,83231,0,-37
92304,83233,-1,-33
92308,83220,-1,-29
92293,83211,0,-25
92309,83228,2,-21
92318,83236,4,-17
92312,83225,4,-15
92313,83228,3,-13
92317,83214,2,-12
92328,83219,-1,-11
92340,83226,-6,-10
92362,83232,-12,-10
92351,83242,-21,-10
92356,83253,-30,-12
92354,83233,-40,-15
92369,83233,-49,-17
92349,83239,-57,-19
92368,83244,-64,-21
92397,83252,-71,-23
92410,83231,-79,-25
92415,83230,-88,-25
92400,83235,-96,-25
92412,83224,-104,-24
92402,83230,-111,-23
92422,83241,-116,-21
92405,83230,-120,-20
92411,83239,-122,-18
92397,83223,-123,-17
92394,83247,-123,-16
92397,83237,-120,-16
92420,83253,-118,-16
92418,83252,-115,-17
92411,83260,-113,-18
92430,83256,-112,-21
92414,83239,-111,-23
92394,83244,-109,-24
92390,83247,-106,-24
92382,83222,-102,-23
92380,83226,-97,-22
92368,83218,-91,-18
92336,83210,-83,-14
92306,83179,-73,-9
92267,83155,-61,-2
92200,83118,-44,7
92132,83096,-22,20
92079,83084,5,36
91965,83090,39,52
91939,83054,80,68
91939,83062,124,83
91954,83063,166,97
91977,83080,203,107
91987,83090,230,114
92029,83112,247,116
92068,83120,252,113
92063,83137,246,106
92067,83153,231,95
92061,83196,211,81
92103,83186,188,63
92095,83214,162,44
92116,83202,134,25
92394,83214,103,6
92166,83203,64,-10
92196,83221,26,-24
92191,83221,-6,-36
92217,83233,-32,-46
92195,83231,-54,-54
92221,83240,-71,-60
92202,83233,-83,-65
92231,83231,-92,-68
92238,83212,-98,-69
92249,83225,-103,-68
92228,83204,-107,-65
92250,83228,-109,-61
92223,83212,-111,-57
92201,83229,-110,-52
92186,83211,-106,-48
92192,83225,-101,-45
92204,83194,-94,-41
92221,83203,-87,-37
92225,83174,-82,-32
92230,83185,-79,-27
92234,83174,-78,-21
92258,83183,-79,-15
92249,83201,-81,-10
92276,83214,-85,-6
92276,83221,-91,-6
92297,83218,-97,-7
92303,83205,-104,-10
92316,83220,-112,-13
92327,83194,-120,-15
92330,83215,-128,-17
92332,83215,-136,-18
92349,83234,-142,-20
92342,83240,-147,-23
92354,83217,-151,-25
92375,83218,-154,-27
92366,83252,-157,-29
92381,83223,-158,-31
92411,83213,-160,-31
92393,83201,-161,-31
92424,83241,-163,-29
92435,83238,-165,-27
92439,83249,-167,-27
92448,83243,-169,-27
92465,83256,-171,-28
92465,83247,-173,-30
92449,83256,-174,-31
92447,83249,-173,-33
92436,83257,-170,-34
92459,83249,-164,-35
92444,83257,-158,-35
92432,83239,-150,-34
92413,83244,-141,-33
92356,83203,-129,-30
92292,83180,-111,-25
92205,83150,-87,-16
92156,83135,-56,-4
92104,83114,-17,10
92098,83101,25,26
92077,83095,70,43
92098,83091,112,59
92084,83071,148,75
92074,83092,178,88
92086,83086,201,98
92072,83109,217,105
92085,83126,226,108
92153,83131,229,106
92174,83153,223,100
92202,83167,209,90
92255,83169,188,78
92265,83194,161,64
92263,83210,130,48
92255,83220,99,32
92252,83217,71,15
92269,83232,46,0
92296,83239,24,-14
92290,83246,5,-27
92320,83235,-10,-39
92331,83241,-24,-47
92324,83242,-36,-54
92321,83249,-46,-58
92329,83251,-53,-61
92341,83239,-58,-62
92321,83234,-62,-62
92355,83247,-63,-60
92324,83235,-64,-57
92334,83222,-63,-53
92303,83225,-60,-48
92281,83238,-55,-43
92266,83235,-48,-39
92267,83253,-37,-35
92268,83228,-26,-32
92306,83235,-15,-29
92317,83248,-7,-27
92320,83229,-3,-26
92303,83236,-1,-24
92331,83270,-1,-23
92321,83237,-2,-23
92333,83258,-5,-24
92329,83244,-8,-24
92337,83266,-12,-25
92323,83252,-16,-25
92328,83276,-19,-26
92355,83263,-21,-28
92365,83274,-24,-29
92377,83257,-28,-30
92379,83275,-32,-31
92377,83269,-37,-31
92376,83274,-41,-31
92381,83251,-45,-31
92399,83248,-48,-29
92705,83412,-55,-28
92702,83417,-76,-34
92689,83421,-108,-46
92690,83425,-144,-62
92674,83423,-178,-79
92687,83410,-209,-94
92698,83414,-233,-107
92724,83394,-251,-116
92742,83402,-265,-120
92740,83390,-273,-121
92709,83393,-277,-118
92721,83374,-275,-112
92713,83380,-268,-104
92707,83391,-257,-94
92671,83400,-242,-84
92646,83397,-222,-75
92597,83374,-198,-66
92546,83362,-169,-58
92464,83317,-135,-47
92426,83286,-94,-34
92361,83250,-48,-18
92337,83247,0,0
92289,83219,51,22
92296,83207,101,44
92252,83201,147,65
92264,83181,189,86
92255,83187,224,104
92260,83194,251,120
92269,83213,270,131
92294,83218,282,138
92307,83231,285,140
92320,83240,280,137
92337,83255,269,131
92366,83247,253,122
92365,83264,233,111
92367,83263,211,100
92350,83254,189,88
92377,83270,168,77
92376,83274,149,66
92396,83273,132,57
92413,83288,115,48
92412,83284,100,40
92410,83297,86,33
92420,83267,74,27
92423,83276,63,23
92409,83269,55,21
92385,83271,48,20
92386,83257,46,20
92370,83254,46,22
92349,83240,48,25
92339,83238,54,29
92352,83240,60,34
92339,83231,68,38
92342,83232,75,43
92343,83238,81,47
92339,83231,85,50
92354,83235,88,52
92367,83220,89,53
92370,83243,87,53
92357,83232,83,53
92354,83239,78,51
92379,83243,73,49
92387,83252,66,46
92413,83241,58,42
92402,83239,48,38
92422,83227,38,34
92415,83258,28,31
92431,83236,17,28
92403,83242,8,26
92409,83231,0,23
92396,83274,-4,21
92366,83276,-7,18
92343,83274,-6,13
92345,83282,-1,7
92334,83286,5,1
92355,83285,13,-4
92328,83274,21,-9
92356,83268,28,-13
92355,83257,34,-16
92385,83228,36,-16
92345,83238,36,-13
92349,83229,36,-9
92323,83247,35,-4
92315,83247,35,0
92312,83251,36,3
92317,83255,38,5
92267,83238,41,7
92258,83229,45,8
92180,83199,52,10
92132,83177,65,14
92057,83149,83,20
92004,83109,107,29
91941,83063,138,42
91908,83073,173,58
91871,83069,210,76
91843,83055,247,92
91871,83078,281,107
91884,83079,308,118
91906,83080,326,125
91921,83078,335,128
91914,83096,334,127
91933,83091,325,123
91925,83106,309,117
91953,83108,289,108
91955,83122,265,97
92000,83131,238,84
91994,83150,208,71
92019,83145,177,56
92014,83174,146,41
92014,83180,117,26
92034,83180,89,11
92046,83198,64,-2
92052,83180,40,-16
92041,83164,19,-27
92062,83183,1,-35
92052,83172,-14,-41
92053,83184,-28,-45
92072,83182,-39,-47
92038,83170,-49,-49
92039,83174,-56,-49
92017,83177,-60,-48
92006,83169,-61,-47
91997,83172,-59,-45
92002,83169,-56,-43
91991,83173,-52,-41
92004,83169,-48,-39
91979,83163,-44,-38
92025,83179,-42,-36
92019,83174,-41,-36
92025,83167,-43,-35
92046,83170,-48,-35
92035,83168,-54,-35
92068,83180,-62,-34
92047,83174,-71,-35
92067,83180,-81,-36
92063,83175,-90,-36
92095,83174,-100,-37
92107,83189,-110,-38
92114,83191,-121,-39
92116,83191,-131,-41
92101,83190,-141,-43
92106,83198,-148,-45
92108,83187,-154,-46
92127,83188,-158,-48
92115,83159,-161,-48
92125,83175,-163,-46
92136,83165,-164,-43
92153,83168,-164,-40
92168,83187,-166,-37
92161,83189,-168,-34
92170,83174,-170,-33
92181,83183,-173,-32
92173,83197,-175,-31
92183,83184,-176,-31
92174,83198,-177,-32
92181,83180,-176,-33
92188,83180,-175,-33
92200,83172,-173,-33
92154,83162,-171,-31
92147,83158,-166,-29
92087,83112,-158,-24
91986,83113,-144,-18
91918,83083,-121,-9
91850,83076,-89,1
91781,83053,-48,14
91758,83040,-1,27
91734,83037,47,41
91728,83043,96,54
91748,83070,139,65
91740,83054,175,72
91750,83056,202,76
91779,83083,220,77
91793,83073,227,75
91820,83095,225,70
91852,83085,214,63
91868,83121,195,55
91877,83076,171,45
91910,83113,143,35
91914,83119,113,26
91953,83119,82,16
91936,83140,52,7
91992,83150,22,-2
91976,83154,-5,-12
92010,83133,-30,-21
92007,83136,-53,-28
92016,83135,-73,-33
92010,83155,-90,-37
92020,83161,-103,-40
92013,83167,-113,-44
92018,83175,-119,-47
91967,83177,-121,-50
91981,83161,-120,-53
91961,83166,-114,-55
91960,83173,-106,-56
91951,83127,-97,-55
91970,83160,-86,-53
91956,83147,-76,-50
91948,83132,-67,-46
91940,83163,-58,-42
91968,83157,-51,-38
92409,83201,-52,-36
92343,83199,-74,-36
92335,83176,-113,-38
92304,83149,-157,-40
92259,83150,-199,-40
92163,83113,-233,-38
92130,83092,-252,-33
92079,83055,-256,-24
92037,83026,-246,-12
91989,83015,-224,3
91989,83000,-192,22
91961,82995,-154,40
91981,82986,-114,58
91966,83021,-75,74
91988,83024,-40,85
92018,83038,-12,92
92064,83032,7,94
92119,83073,16,92
92159,83079,15,85
92160,83097,5,75
92166,83075,-11,62
92179,83104,-31,48
92183,83101,-51,34
92168,83114,-71,20
92197,83135,-88,6
92209,83113,-102,-5
92221,83133,-114,-17
92252,83149,-124,-27
92276,83168,-133,-36
92282,83164,-142,-45
92267,83155,-149,-53
92246,83172,-154,-59
92260,83179,-154,-65
92237,83148,-152,-69
92233,83143,-146,-70
92206,83146,-136,-69
92203,83141,-124,-67
92199,83152,-109,-63
92212,83132,-93,-58
92195,83139,-77,-52
92210,83128,-62,-47
92200,83141,-49,-41
92222,83132,-37,-36
92228,83135,-28,-31
92239,83122,-21,-27
92258,83118,-18,-22
92257,83119,-17,-18
92267,83110,-18,-14
92274,83122,-20,-10
92267,83130,-23,-7
92282,83135,-26,-5
92291,83134,-29,-5
92322,83128,-33,-5
92321,83141,-37,-6
92341,83142,-41,-8
92324,83144,-46,-9
92350,83155,-50,-12
92335,83146,-53,-14
92331,83136,-55,-17
92333,83144,-54,-18
92352,83136,-53,-19
92358,83151,-50,-19
92372,83146,-48,-19
92377,83137,-46,-18
92389,83141,-45,-18
92404,83168,-45,-17
92383,83153,-45,-17
92384,83153,-44,-17
92382,83147,-42,-17
92385,83150,-39,-17
92393,83148,-35,-16
92399,83150,-31,-15
92400,83160,-27,-14
92413,83154,-23,-14
92393,83144,-19,-13
92362,83133,-15,-12
92318,83123,-7,-9
92244,83101,4,-5
92178,83075,23,0
92116,83048,50,8
92060,83029,84,20
92022,83004,124,33
92006,83000,167,49
91995,83004,210,64
91980,82993,249,79
91972,83013,284,91
91996,83018,311,99
91996,83008,331,105
92018,83032,342,107
92052,83062,344,105
92069,83059,337,99
92098,83068,323,89
92103,83078,301,78
92146,83101,276,65
92151,83097,246,51
92160,83100,215,36
92159,83120,184,22
92181,83117,155,9
92191,83143,127,-2
92213,83137,102,-14
92235,83146,79,-24
92248,83151,57,-34
92256,83155,37,-42
92284,83166,19,-48
92275,83145,2,-54
92263,83161,-12,-57
92256,83143,-23,-59
92251,83156,-30,-60
92235,83141,-34,-59
92256,83138,-34,-56
92255,83129,-33,-52
92292,83129,-31,-48
92282,83134,-31,-42
92268,83128,-31,-37
92233,83131,-30,-32
92240,83126,-27,-27
92232,83129,-23,-23
92245,83129,-18,-19
92246,83131,-13,-16
92304,83136,-10,-14
92299,83124,-10,-12
92321,83147,-14,-12
92324,83150,-20,-12
92364,83161,-28,-13
92344,83167,-38,-16
92360,83168,-49,-19
92348,83170,-59,-23
92368,83179,-68,-27
92159,83176,-72,-31
92395,83182,-69,-35
92425,83171,-67,-38
92425,83171,-70,-40
92424,83177,-77,-40
92418,83180,-85,-40
92440,83192,-93,-40
92429,83182,-100,-40
92444,83178,-107,-39
92441,83170,-112,-37
92455,83198,-116,-35
92436,83174,-118,-34
92461,83187,-118,-32
92464,83186,-117,-30
92481,83197,-116,-28
92456,83195,-114,-27
92462,83202,-112,-26
92458,83184,-108,-26
92462,83175,-103,-25
92450,83167,-97,-23
92428,83163,-89,-19
92386,83131,-80,-14
92337,83132,-66,-7
92246,83094,-47,1
92204,83070,-21,12
92153,83045,11,25
92109,83033,49,41
92062,83026,91,58
92043,83011,134,74
92048,83004,175,89
92039,83020,212,103
92048,83013,243,114
92065,83021,266,121
92076,83037,280,125
92113,83047,285,125
92119,83066,281,121
92144,83077,269,113
92180,83088,251,102
92177,83117,227,89
92181,83100,201,73
92198,83114,173,58
92233,83114,145,43
92224,83142,118,28
92231,83134,92,15
92255,83132,69,3
92275,83162,47,-7
92304,83164,27,-17
92303,83177,7,-26
92331,83179,-10,-35
92318,83160,-27,-42
92319,83163,-41,-47
92304,83157,-52,-50
92311,83168,-60,-51
92310,83146,-65,-51
92313,83143,-67,-49
92309,83131,-67,-45
92318,83152,-66,-39
92312,83145,-64,-34
92308,83148,-61,-29
92303,83158,-58,-25
92320,83141,-54,-22
92296,83138,-50,-19
92309,83146,-47,-17
92328,83143,-43,-14
92343,83162,-42,-13
92352,83163,-42,-12
92396,83173,-45,-13
92380,83173,-50,-15
92392,83180,-58,-18
92387,83168,-65,-21
92394,83173,-72,-24
92400,83185,-78,-26
92357,85043,-83,-59
92335,85054,-84,-172
92388,85060,-82,-360
92397,85097,-79,-583
92427,85104,-77,-810
92443,85115,-77,-1021
92454,85112,-79,-1200
92460,85126,-84,-1340
92491,85089,-89,-1436
92484,85087,-96,-1491
92496,85074,-103,-1506
92501,85084,-110,-1487
92518,85089,-116,-1442
92479,85095,-120,-1378
92490,85103,-122,-1300
92467,85109,-121,-1216
92474,85106,-117,-1128
92460,85119,-111,-1041
92450,85126,-102,-956
92459,85109,-92,-876
92485,85109,-81,-800
92462,85105,-71,-729
92514,85111,-63,-662
92509,85099,-58,-599
92561,85094,-56,-541
92576,85099,-57,-486
92594,85088,-63,-434
92591,85113,-71,-384
92605,85097,-80,-338
92620,85107,-89,-295
92624,85103,-98,-254
92611,85103,-105,-215
92622,85125,-111,-177
92614,85105,-113,-142
92643,85117,-114,-108
92624,85117,-113,-76
92632,85125,-110,-44
92630,85132,-106,-15
92634,85132,-101,12
92644,85135,-95,39
92655,85138,-88,65
92664,85126,-83,90
92669,85121,-78,114
92689,85105,-74,139
92695,85126,-72,164
92718,85117,-70,189
92708,85136,-70,212
92697,85135,-71,234
92712,85142,-70,253
92711,85130,-68,271
92709,85147,-66,287
92723,85130,-63,303
92745,85148,-60,317
92730,85133,-57,330
92732,85136,-54,343
92703,85122,-50,355
92660,85108,-43,368
92614,85100,-32,381
92532,85101,-15,395
92487,85075,9,409
92425,85068,41,423
92401,85042,79,438
92367,85043,120,454
92354,85025,161,469
92364,85029,200,484
92379,85017,234,498
92371,85049,261,509
92394,85035,280,517
92406,85049,290,522
92437,85050,293,524
92459,85044,287,524
92475,85044,274,521
92506,85053,255,517
92509,85060,231,511
92555,85066,205,504
92592,85046,176,496
92621,85046,145,489
92621,85045,113,482
92648,85065,82,475
92644,85068,53,468
92668,85048,26,460
92694,85068,3,452
92730,85073,-17,445
92748,85047,-37,437
92753,85060,-55,429
92757,85060,-72,422
92751,85041,-85,415
92738,85033,-94,410
92737,85034,-99,405
92732,85027,-100,401
92716,85041,-98,397
92701,85032,-91,393
92694,85032,-82,388
92690,85028,-70,382
92719,85043,-57,376
92725,85009,-46,369
92750,85028,-37,363
92765,85032,-31,355
92763,85026,-28,348
92778,85016,-28,340
92778,85019,-30,331
92766,85013,-33,324
92794,85016,-36,316
92775,85017,-39,308
92810,85037,-42,299
92815,85020,-45,290
92816,85044,-48,280
92805,85031,-51,269
92825,85053,-53,257
92821,85040,-54,246
92812,85054,-54,233
92814,85019,-53,222
92832,85015,-51,212
92845,85032,-49,203
92844,85015,-47,196
92855,85022,-46,189
92864,85048,-45,183
92839,85036,-44,176
92844,85041,-42,168
92840,85032,-40,160
92846,85045,-36,151
92838,85060,-32,143
92832,85042,-27,134
92806,85038,-20,125
92755,85021,-12,117
92713,85017,0,111
92661,84991,18,106
92591,84989,42,104
92536,84994,71,104
92480,84969,107,104
92455,84977,146,105
92438,84953,187,106
92447,84980,225,108
92448,84960,259,108
92484,84985,285,107
92483,84966,303,105
92510,84996,310,101
92536,84980,309,95
92548,84998,299,87
92558,84998,283,79
92592,85014,261,69
92601,85008,236,58
92625,85010,208,47
92627,85016,178,37
92682,85029,149,26
92655,85029,119,16
92696,85048,91,5
92696,85042,65,-4
92720,85063,41,-14
92716,85051,20,-23
92747,85069,0,-33
92728,85058,-15,-41
92735,85058,-29,-48
92727,85037,-39,-54
92736,85035,-47,-57
92716,85042,-51,-58
92717,85031,-52,-57
92688,85039,-51,-56
92681,85023,-46,-54
92666,85023,-39,-51
92664,85015,-29,-48
92651,85022,-19,-45
92684,85031,-9,-42
92681,85014,0,-39
92719,85026,5,-38
92717,85021,6,-36
92749,85009,5,-36
92746,85020,0,-35
92757,85031,-8,-35
92752,85032,-17,-36
92773,85018,-26,-37
92764,85020,-36,-39
92784,85012,-45,-40
92820,85018,-54,-41
92805,85024,-63,-41
92793,85035,-72,-42
92809,85013,-78,-43
92830,85025,-84,-44
92826,85044,-88,-45
92836,85026,-92,-47
92832,85031,-95,-48
92806,85020,-97,-50
92822,85033,-96,-50
92829,85013,-93,-50
92821,85014,-90,-50
92829,85030,-87,-49
92855,85027,-83,-48
92855,85025,-80,-47
92867,85041,-79,-47
92858,85036,-78,-47
92840,85026,-77,-48
92840,85039,-75,-48
92829,85034,-72,-49
92819,85026,-67,-49
92810,85023,-61,-49
92681,85007,-51,-48
92653,85003,-34,-45
92579,84973,-10,-41
92515,84971,21,-35
92505,84953,58,-27
92762,85025,94,-20
92790,85038,116,-15
92780,85038,122,-14
92796,85025,117,-16
92814,85049,103,-20
92835,85043,82,-25
92835,85040,59,-31
92848,85033,34,-36
92861,85048,9,-40
92841,85043,-12,-44
92854,85051,-31,-47
92848,85046,-46,-49
92852,85046,-56,-51
92844,85047,-63,-52
92854,85052,-67,-52
92875,85061,-68,-52
92874,85065,-68,-52
92886,85071,-67,-52
92849,85052,-65,-52
92870,85059,-62,-52
92893,85041,-59,-51
92898,85060,-56,-49
92909,85037,-55,-46
92899,85059,-54,-43
92871,85064,-53,-40
92873,85070,-51,-38
92864,85073,-47,-37
92867,85070,-42,-37
92855,85059,-36,-37
92831,85037,-28,-36
92789,85037,-19,-33
92722,85008,-6,-29
92643,85030,12,-23
92586,85016,39,-17
92527,85030,72,-10
92494,85001,110,-4
92480,85018,151,1
92486,85003,191,6
92498,85020,226,11
92541,85008,253,15
92553,85021,271,18
92571,85031,278,19
92576,85040,275,18
92607,85062,265,16
92604,85051,249,12
92614,85061,228,6
92644,85077,204,0
92674,85059,178,-5
92695,85080,150,-12
92732,85077,120,-17
92722,85072,90,-22
92728,85086,62,-26
92759,85129,35,-31
92760,85122,11,-36
92753,85112,-9,-41
92751,85125,-26,-46
92764,85132,-40,-51
92766,85136,-50,-55
92771,85134,-58,-58
92763,85116,-63,-61
92769,85118,-66,-61
92769,85133,-67,-60
92756,85135,-67,-58
92760,85108,-65,-55
92758,85112,-62,-51
92723,85093,-58,-46
92757,85089,-53,-39
92768,85113,-48,-32
92745,85102,-44,-25
92769,85084,-41,-19
92790,85102,-39,-12
92793,85103,-40,-7
92835,85111,-43,-3
92848,85095,-49,0
92847,85090,-57,2
92854,85084,-67,5
92877,85073,-77,8
92878,85069,-87,11
92891,85076,-97,16
92879,85055,-106,20
92887,85082,-113,24
92894,85066,-118,28
92903,85084,-122,30
92900,85087,-124,32
92886,85098,-124,32
92879,85074,-122,30
92886,85089,-118,29
92883,85096,-113,27
92896,85082,-107,25
92864,85099,-100,23
92884,85091,-92,21
92908,85100,-85,19
92908,85107,-79,17
92905,85096,-75,14
92916,85112,-72,12
92898,85131,-70,10
92885,85135,-67,6
92858,85142,-62,2
92875,85142,-56,-2
92843,85139,-48,-7
92816,85128,-39,-11
92790,85127,-27,-13
92728,85124,-11,-14
92672,85104,8,-14
92629,85091,33,-11
92568,85081,63,-6
92531,85074,97,0
92505,85070,134,8
92488,85068,170,16
92494,85075,205,25
92492,85099,234,31
92503,85086,257,36
92513,85095,272,38
92532,85106,280,39
92564,85111,279,37
92588,85118,270,34
92607,85133,254,29
92614,85132,232,23
92612,85126,208,17
92636,85148,181,10
92649,85160,154,3
92654,85154,128,-3
92685,85181,102,-10
92689,85168,77,-17
92694,85202,54,-24
92702,85197,34,-31
92703,85202,15,-37
92685,85194,0,-43
92684,85211,-10,-48
92679,85195,-18,-51
92673,85213,-22,-54
92665,85202,-24,-55
92684,85204,-23,-55
92655,85197,-21,-53
92661,85191,-18,-51
92639,85196,-14,-47
92628,85181,-9,-42
92642,85193,-3,-37
92667,85204,1,-32
92661,85177,4,-27
92677,85172,4,-22
92681,85174,3,-16
92713,85174,0,-11
92717,85154,-7,-5
92732,85188,-16,0
92704,85187,-26,4
92670,85169,-34,7
92708,85183,-40,9
92697,85178,-45,11
92714,85187,-48,12
92736,85183,-52,12
92754,85186,-56,12
92781,85195,-62,11
92759,85187,-69,10
92759,85187,-76,9
92758,85173,-82,9
92775,85185,-86,9
92764,85172,-90,10
92762,85174,-93,11
92770,85162,-94,14
92788,85184,-94,16
92798,85169,-94,18
92790,85162,-95,20
92801,85173,-96,23
92795,85178,-97,24
92811,85159,-97,26
92806,85170,-97,27
92807,85146,-97,29
92808,85177,-96,30
92795,85170,-95,31
92763,85167,-92,32
92746,85156,-86,32
92692,85146,-76,32
92652,85149,-62,33
92573,85134,-42,35
92533,85133,-16,38
92492,85109,15,41
92460,85098,50,46
92449,85081,87,52
92425,85079,123,59
92428,85095,156,66
92422,85127,184,72
92428,85136,206,74
92448,85116,221,73
92471,85117,229,70
92482,85130,228,67
92517,85149,220,62
92538,85149,206,55
92537,85144,186,47
92548,85152,162,40
92559,85141,137,32
92579,85146,112,26
92569,85159,87,20
92595,85161,64,15
92616,85175,43,10
92626,85160,22,5
92650,85164,2,1
92657,85159,-15,-1
92668,85179,-32,-4
92656,85143,-48,-6
92713,85160,-61,-7
92709,85178,-74,-7
92731,85168,-87,-7
92751,85178,-99,-8
92733,85178,-110,-9
92743,85190,-120,-11
92720,85194,-127,-13
92690,85194,-131,-15
92653,85197,-129,-18
92602,85217,-121,-21
92550,85207,-107,-25
92501,85188,-85,-28
92471,85190,-57,-30
92444,85185,-25,-30
92423,85155,9,-29
92408,85168,43,-26
92394,85142,75,-20
92375,85193,104,-15
92394,85159,128,-10
92388,85189,147,-6
92398,85197,160,-3
92414,85216,166,-3
92441,85220,166,-6
92485,85230,159,-10
92499,85231,145,-16
92546,85239,125,-22
92541,85229,101,-28
92563,85264,73,-34
92577,85243,45,-40
92573,85254,17,-45
92595,85257,-8,-50
92604,85272,-31,-53
92606,85281,-52,-57
92633,85263,-70,-60
92603,85269,-85,-62
92632,85274,-96,-62
92636,85270,-105,-62
92623,85309,-112,-62
92643,85293,-116,-62
92655,85297,-119,-62
92647,85274,-120,-62
92641,85292,-121,-61
92619,85271,-120,-58
92616,85298,-116,-55
92618,85272,-111,-52
92612,85295,-104,-48
92604,85286,-97,-44
92633,85311,-89,-41
92620,85294,-83,-39
92661,85297,-78,-37
92640,85290,-75,-35
92651,85300,-74,-33
92648,85286,-74,-30
92647,85292,-74,-28
92682,85281,-75,-24
92684,85282,-77,-21
92700,85276,-81,-17
92728,85282,-86,-12
92730,85288,-92,-8
92754,85276,-100,-4
92757,85276,-108,-1
92763,85267,-116,2
92762,85263,-124,6
92778,85280,-130,10
92779,85257,-135,14
92798,85294,-138,17
92783,85264,-141,19
92775,85298,-142,20
92764,85285,-140,20
92779,85295,-136,19
92760,85286,-130,18
92791,85280,-122,17
92806,85282,-115,16
92820,85290,-110,16
92811,85279,-106,16
92803,85282,-103,16
92809,85283,-99,17
92816,85286,-95,17
92823,85285,-92,18
92809,85291,-89,19
92828,85286,-85,19
92819,85286,-81,20
92803,85270,-77,20
92788,85272,-71,22
92758,85271,-63,24
92709,85273,-52,26
92646,85266,-36,28
92611,85234,-14,31
92539,85236,13,35
92536,85210,45,41
92489,85215,81,47
92495,85207,117,55
92468,85210,151,62
92469,85226,182,68
92467,85222,208,72
92475,85221,228,75
92491,85230,242,75
92499,85239,248,74
92527,85230,248,72
92558,85241,241,68
92581,85247,227,63
92585,85242,208,57
92590,85260,186,52
92595,85270,163,45
92601,85280,139,38
92611,85289,117,30
92623,85302,97,21
92648,85310,78,12
92652,85302,60,3
92676,85306,43,-4
92661,85307,27,-11
92638,85323,14,-17
92623,85310,5,-22
92615,85323,0,-26
92621,85325,0,-29
92616,85334,0,-32
92630,85335,3,-34
92616,85317,6,-36
92619,85322,10,-36
92627,85337,13,-36
92609,85304,16,-35
92603,85327,19,-32
92606,85330,22,-30
92592,85334,24,-28
92601,85326,27,-26
92607,85319,29,-24
92625,85319,30,-22
92653,85329,28,-20
92683,85321,24,-18
92703,85318,15,-16
92712,85307,3,-13
92710,85325,-9,-10
92720,85302,-23,-8
92726,85311,-37,-5
92728,85313,-49,-2
92734,85282,-60,0
92725,85301,-69,3
92736,85286,-75,7
92750,85286,-80,11
92748,85302,-83,15
92761,85320,-86,17
92734,85339,-87,17
92747,85313,-87,15
92747,85321,-85,13
92760,85314,-83,10
92786,85302,-81,8
92779,85299,-80,7
92818,85292,-80,7
92796,85285,-82,8
92814,85305,-84,10
92809,85301,-87,12
92805,85296,-89,14
92780,85304,-89,15
92799,85317,-88,16
92773,85298,-85,16
92779,85307,-80,15
92758,85294,-74,15
92722,85283,-65,15
92689,85273,-53,16
92645,85275,-37,19
92598,85263,-17,22
92518,85265,7,25
92505,85236,37,30
92497,85232,70,35
92478,85220,104,41
92443,85228,135,48
92471,85246,163,54
92477,85256,187,57
92498,85255,203,59
92512,85244,212,58
92539,85246,213,56
92570,85250,206,54
92584,85272,193,50
92587,85273,174,46
92610,85276,152,40
92618,85275,129,33
92619,85272,104,27
92633,85292,81,20
92657,85304,59,14
92673,85296,37,7
92666,85291,18,1
92697,85310,0,-4
92690,85288,-15,-9
92716,85313,-29,-13
92682,85296,-41,-16
92691,85310,-51,-19
92681,85304,-56,-21
92677,85291,-59,-22
92662,85312,-59,-22
92670,85312,-56,-22
92640,85312,-51,-22
92650,85327,-45,-23
92634,85300,-37,-24
92642,85328,-28,-24
92618,85303,-20,-25
92631,85330,-12,-25
92627,85332,-4,-25
92629,85334,1,-27
92637,85320,6,-28
92636,85334,9,-29
92557,85332,12,-30
92506,85329,18,-30
92465,85335,29,-31
92455,85328,44,-31
92419,85342,63,-31
92446,85344,84,-31
92428,85331,103,-31
92459,85318,119,-30
92476,85309,131,-28
92473,85310,137,-25
92510,85302,137,-21
92491,85293,132,-16
92508,85339,123,-11
92515,85336,111,-7
92530,85350,97,-6
92553,85348,82,-7
92573,85352,65,-10
92590,85348,46,-13
92619,85365,26,-16
92613,85355,6,-20
92630,85370,-13,-24
92610,85403,-31,-28
92621,85388,-47,-33
