ir1,ir2,ir1filt,ir2filt
93250,83542,-63,37
93263,83537,-74,28
93234,83553,-82,20
93251,83548,-88,12
93236,83554,-92,5
93224,83541,-93,-1
93215,83533,-92,-8
93172,83502,-89,-13
93123,83488,-82,-17
93097,83469,-70,-18
93042,83438,-53,-16
92997,83419,-32,-12
92981,83411,-7,-5
92957,83415,19,1
92952,83388,46,8
92925,83389,71,14
92928,83401,93,19
92942,83424,111,21
92904,83422,124,20
92926,83427,133,15
92940,83428,137,8
92959,83429,135,-1
92953,83447,129,-12
92975,83453,118,-25
92998,83470,103,-39
92986,83476,85,-54
93018,83456,66,-68
93007,83449,45,-82
93011,83438,25,-93
93018,83423,6,-101
93023,83442,-10,-106
93016,83450,-26,-110
93029,83460,-40,-113
92999,83464,-51,-117
92997,83474,-59,-121
93002,83482,-64,-126
93005,83475,-68,-131
92991,83463,-69,-137
92997,83443,-70,-140
92989,83433,-69,-142
93007,83426,-69,-141
92991,83415,-69,-138
93008,83423,-69,-134
92984,83422,-69,-129
92999,83439,-69,-124
93005,83418,-70,-121
93024,83419,-72,-118
92998,83419,-75,-115
93020,83407,-78,-113
93025,83425,-82,-111
93007,83420,-86,-110
92998,83423,-89,-109
93010,83435,-92,-109
93005,83438,-93,-111
93002,83442,-94,-113
92981,83430,-94,-116
92995,83444,-92,-119
93001,83432,-91,-121
93016,83447,-89,-123
93032,83436,-89,-125
93051,83438,-91,-126
93029,83451,-95,-126
93039,83459,-99,-127
93063,83453,-103,-128
93069,83447,-108,-129
93054,83445,-114,-129
93092,83439,-119,-128
93098,83431,-125,-126
93082,83438,-131,-123
93070,83410,-136,-119
93081,83410,-139,-114
93071,83406,-140,-107
93108,83411,-139,-100
93087,83429,-139,-94
93081,83431,-138,-89
93078,83411,-135,-85
93057,83419,-131,-82
93042,83389,-125,-78
93027,83392,-117,-74
92998,83368,-106,-69
92937,83356,-92,-63
92858,83337,-73,-55
92834,83323,-48,-45
92796,83298,-18,-34
92783,83297,13,-22
92806,83295,46,-10
92818,83291,74,1
92833,83270,97,11
92832,83295,113,21
92853,83288,121,28
92847,83310,123,32
92855,83322,120,33
92898,83334,113,31
92926,83345,100,25
92936,83361,83,17
92961,83380,62,6
92965,83370,40,-5
92976,83364,17,-17
92986,83370,-5,-28
92978,83364,-25,-37
92993,83375,-43,-45
93001,83331,-58,-50
93000,83305,-70,-52
93005,83291,-80,-49
92988,83311,-87,-43
93004,83315,-91,-35
93007,83326,-93,-28
93002,83319,-93,-22
93004,83346,-92,-17
93005,83342,-91,-15
92992,83342,-88,-15
92977,83328,-84,-16
92989,83327,-78,-17
92967,83305,-72,-17
92975,83324,-65,-17
92986,83322,-59,-17
92971,83325,-53,-16
93016,83328,-48,-16
93025,83346,-45,-17
93034,83342,-46,-18
93020,83361,-49,-21
93028,83361,-52,-25
93028,83394,-56,-30
93030,83383,-59,-36
93074,83402,-63,-43
93086,83396,-67,-50
93082,83408,-74,-58
93107,83418,-81,-64
93106,83448,-88,-71
93122,83452,-95,-78
93134,83461,-102,-86
93127,83460,-108,-93
93129,83467,-114,-100
93133,83478,-117,-105
93151,83478,-119,-110
93164,83482,-121,-113
93195,83506,-122,-116
93181,83501,-124,-118
93196,83528,-126,-120
93191,83545,-128,-122
93210,83541,-129,-125
93197,83552,-129,-128
93237,83573,-129,-131
93245,83570,-129,-134
93246,83565,-130,-136
93246,83592,-130,-138
93245,83600,-130,-139
93247,83601,-129,-140
93273,83599,-127,-140
93254,83589,-124,-139
93243,83576,-121,-136
93197,83569,-115,-131
93191,83529,-105,-123
93129,83480,-91,-111
93095,83465,-73,-93
93041,83433,-48,-72
93027,83431,-19,-48
92998,83416,12,-22
93010,83434,44,2
93021,83443,74,23
93029,83436,100,41
93015,83469,121,55
93063,83476,135,63
93037,83479,143,67
93067,83492,146,66
93082,83499,144,62
93090,83527,137,55
93093,83545,127,46
93121,83557,114,34
93140,83561,100,21
93166,83579,84,8
93146,83572,66,-4
93165,83564,50,-15
93138,83567,35,-24
93144,83576,23,-30
93225,83718,14,-36
93209,83729,4,-47
93245,83743,-6,-62
93253,83756,-17,-80
93286,83754,-29,-98
93301,83774,-42,-115
93319,83796,-55,-130
93309,83816,-68,-143
93345,83831,-79,-154
93328,83824,-90,-164
93349,83847,-98,-171
93345,83835,-104,-175
93343,83835,-109,-177
93315,83809,-110,-175
93345,83809,-108,-168
93328,83808,-104,-159
93322,83793,-98,-146
93281,83823,-89,-132
93294,83808,-78,-118
93283,83849,-64,-104
93295,83838,-51,-93
93311,83851,-38,-83
93329,83856,-27,-75
93355,83844,-20,-69
