ir1,ir2
110410,100077
110453,100042
110482,99994
110506,99928
110490,99853
110480,99786
110369,99818
110254,99848
110049,99921
109831,100007
109611,100084
109409,100158
109238,100176
109104,100166
108999,100158
108924,100137
108853,100087
108850,100044
108829,100002
108835,100021
108851,100044
108876,100069
108873,100093
108891,100104
108916,100116
108965,100132
109000,100115
109062,100130
109118,100134
109210,100150
109262,100131
109362,100136
109376,100135
109422,100149
109425,100157
109425,100235
109438,100309
109424,100370
109420,100412
109443,100410
109461,100385
109483,100349
109484,100292
109497,100233
109503,100172
109500,100170
109513,100234
109516,100332
109537,100419
109561,100465
109611,100451
109677,100426
109712,100402
109747,100388
109797,100385
109832,100362
109843,100359
109879,100385
109912,100460
109955,100543
109977,100567
109986,100569
110016,100498
110016,100423
110037,100321
110050,100223
110099,100112
110147,100026
110214,99900
110227,99789
110276,99693
110281,99592
110309,99495
110302,99516
110311,99550
110325,99604
110359,99644
110424,99718
110463,99766
110501,99833
110546,99872
110557,99902
110575,99904
110551,99893
110496,99888
110400,99960
110258,99959
110081,99981
109922,99961
109695,99945
109532,99949
109396,99962
109261,99965
109168,99946
109135,99914
109103,99877
109099,99834
109095,99881
109131,99939
109120,99992
109138,100004
109136,100020
109149,99984
109167,99968
109181,99941
109236,99922
109263,99894
109299,99889
109381,99906
109422,99906
109490,99967
109540,100045
109586,100098
109612,100139
109651,100148
109659,100175
109657,100148
109647,100160
109639,100187
109625,100211
109651,100236
109654,100223
109637,100209
109671,100266
109685,100320
109682,100423
109697,100454
109745,100525
109784,100514
109821,100510
109869,100493
109899,100452
109952,100379
109997,100377
110048,100357
110067,100400
110086,100433
110104,100504
110110,100490
110133,100440
110174,100333
110200,100251
110223,100149
110251,100082
110283,99983
110280,99931
110314,99819
110342,99737
110360,99652
110380,99603
110393,99580
110391,99579
110420,99579
110432,99632
110474,99698
110501,99777
110527,99871
110590,99934
110626,99957
110681,99962
110674,99969
110686,99924
110639,99931
110531,99924
110388,99930
110214,99962
110038,99956
109841,99995
109624,100002
109461,100044
109309,100030
109200,100053
109101,100043
109081,100035
109057,100017
109054,99998
109063,100001
109099,99984
109119,99985
109110,100030
109117,100059
109115,100104
109087,100119
109102,100154
109108,100136
109174,100130
109229,100119
109308,100055
109382,100027
109465,100035
109497,100033
109543,100073
109565,100095
109592,100162
109569,100177
109566,100198
109586,100158
109609,100160
109615,100140
109603,100152
109599,100127
109584,100179
109581,100203
109602,100264
109614,100278
109656,100301
109678,100261
109708,100289
109740,100356
109787,100397
109821,100416
109847,100440
109870,100422
109927,100432
109940,100454
109991,100498
110039,100522
110050,100511
110066,100440
110090,100365
110114,100239
110123,100065
110108,99917
110148,99818
110187,99736
110212,99718
110233,99695
110250,99689
110274,99692
110287,99701
110278,99686
110289,99690
110302,99639
110331,99679
110331,99681
110366,99676
110384,99679
110384,99681
110397,99670
110389,99693
110312,99725
110217,99786
110050,99854
109869,99872
109655,99865
109468,99863
109289,99852
109145,99827
109031,99797
108936,99769
108846,99750
108818,99777
108788,99791
108808,99840
108805,99822
108831,99812
108876,99804
108902,99857
108902,99866
108942,99887
108923,99899
108936,99888
108987,99871
108996,99877
109069,99886
109100,99896
109151,99916
109226,99943
109258,99959
109299,99972
109342,99946
109358,99930
109367,99872
109391,99825
109396,99762
109394,99781
109381,99800
109401,99861
109385,99898
109386,99969
109393,99987
109394,100026
109439,100005
109427,100001
109483,99989
109499,99974
109532,99947
109564,99918
109613,99937
109647,99974
109699,99994
109679,100043
109734,100062
109744,100087
109803,100062
109805,100034
109846,100001
109888,99944
109894,99839
109940,99717
110000,99533
110023,99409
110046,99324
110060,99268
110099,99224
110072,99213
110070,99191
110038,99191
110065,99167
110056,99155
110108,99128
110130,99132
110162,99112
110226,99116
110271,99117
110289,99156
110320,99163
110319,99232
110352,99277
110352,99314
110365,99312
110332,99326
110286,99315
110168,99342
110005,99304
109824,99322
109630,99328
109441,99361
109264,99368
109107,99351
108993,99314
108895,99310
108819,99289
108798,99290
108787,99239
108801,99232
108843,99227
108868,99207
108907,99188
108930,99184
108955,99149
108978,99129
109005,99108
109012,99137
109036,99193
109069,99277
109117,99316
109180,99383
109242,99371
109308,99375
109364,99361
109403,99350
109424,99336
109402,99335
109395,99293
109374,99331
109348,99361
109347,99409
109359,99429
109362,99444
109365,99487
109385,99562
109393,99632
109420,99687
109443,99708
109463,99738
109501,99709
109555,99706
109604,99661
109656,99681
109670,99683
109706,99745
109721,99779
109732,99810
109734,99789
109759,99737
109786,99638
109845,99523
109892,99404
109929,99350
109955,99282
110012,99254
110024,99190
110042,99134
110051,99056
110085,98959
110091,98899
110137,98855
110145,98815
110167,98814
110163,98791
110173,98818
110190,98834
110217,98900
110243,98944
110282,98990
110305,99013
110331,99036
110319,99040
110297,99031
110258,99050
110158,99090
110002,99129
109858,99160
109687,99159
109488,99199
109320,99189
109150,99196
109029,99171
108902,99179
108829,99191
108769,99184
108733,99211
108741,99234
108725,99265
108759,99293
108790,99303
108879,99311
108881,99313
108917,99280
108946,99266
108968,99272
108991,99283
109043,99288
109068,99309
109141,99344
109167,99374
110282,99422
109267,99428
109307,99418
109316,99410
109328,99406
109320,99373
109310,99360
109307,99335
109298,99344
109280,99363
109285,99371
109299,99435
109292,99465
109313,99514
109352,99509
109384,99531
109382,99525
109421,99517
109467,99484
109514,99536
109555,99560
109594,99543
109622,99551
109654,99521
109692,99519
109714,99510
109720,99505
109756,99468
109767,99392
109773,99272
109806,99148
109821,99006
109835,98896
109897,98795
109907,98728
109932,98700
109954,98656
109972,98654
109992,98607
110005,98570
110011,98570
110031,98552
110042,98532
110093,98512
110130,98494
110161,98478
110200,98479
110216,98523
110234,98535
110263,98567
110255,98597
110230,98617
110188,98665
110083,98681
109928,98663
109744,98667
109550,98676
109331,98650
109140,98670
108997,98695
108846,98701
108758,98709
108703,98690
108656,98710
108651,98720
108659,98720
108676,98700
108716,98664
108716,98636
108737,98602
108745,98577
108784,98613
108785,98640
108799,98701
108825,98723
108853,98745
108899,98772
108949,98809
108994,98823
109055,98827
109094,98846
109147,98868
109185,98920
109220,98935
109249,98944
109252,98960
109230,98941
109240,98905
109237,98860
109235,98839
109230,98843
109260,98902
109229,98961
109260,99042
109265,99091
109321,99094
109374,99094
109431,99076
109476,99057
109529,99042
109572,99010
109621,98998
109659,99036
109679,99097
109702,99105
109729,99088
109748,99038
109768,98944
109821,98832
109840,98741
109867,98658
109901,98630
109919,98580
109935,98531
109972,98491
109964,98442
110015,98390
110050,98355
110070,98314
110078,98304
110113,98320
110144,98309
110139,98335
110176,98359
110186,98381
110210,98404
110251,98401
110295,98426
110340,98406
110372,98401
110406,98406
110403,98408
110405,98367
110340,98296
110270,98213
110135,98210
109959,98273
109799,98347
109603,98463
109408,98582
109245,98637
109081,98662
108967,98632
108876,98591
108827,98503
108798,98456
108802,98408
108822,98417
108860,98418
108861,98454
108904,98473
108909,98512
108908,98515
108908,98519
108930,98550
108961,98557
109009,98567
109071,98549
109151,98562
109199,98610
109258,98628
109305,98639
109360,98638
109394,98647
109430,98650
109419,98694
109426,98718
109374,98757
109345,98764
109268,98792
109219,98776
109215,98778
109225,98792
109227,98806
109264,98823
109299,98837
109321,98832
109360,98853
109381,98899
109398,98906
109421,98916
109435,98908
109482,98882
109493,98899
109552,98849
109564,98802
109640,98726
109648,98643
109678,98587
109705,98484
109723,98413
109743,98296
109790,98249
109806,98181
109853,98162
109856,98113
109863,98110
109849,98083
109851,98092
109859,98118
109889,98155
109925,98177
109964,98204
109999,98207
110024,98225
110049,98190
110079,98211
110083,98242
110094,98276
110103,98324
110119,98386
110102,98433
110116,98510
110085,98556
110013,98561
109911,98560
109775,98523
109566,98493
109354,98440
109175,98401
108986,98379
108845,98429
108742,98451
108686,98492
108628,98493
108635,98485
108635,98474
108635,98482
108643,98474
108683,98486
108716,98517
108730,98560
108744,98588
108780,98640
108796,98670
108844,98690
108897,98726
108956,98727
109008,98707
109076,98689
109100,98650
109144,98645
109136,98630
